path,ext,size,layer_guess,has_frontmatter,status,last_updated,links_count,class,decision,purpose,claim_id,claim_status,verified_by,last_verified,evidence_refs
_audit/CLASSIFICATION_MATRIX.md,md,100749,ROOT,true,approved,2026-03-20,0,EXPERIMENTAL,Оставить,documentation,,,,,
_audit/CONTRADICTIONS.md,md,1180,ROOT,true,approved,2026-03-20,0,EXPERIMENTAL,Оставить,documentation,,,,,
_audit/DOCUMENTATION_MAP.md,md,11084,ROOT,true,approved,2026-03-20,0,EXPERIMENTAL,Оставить,documentation,,,,,
_audit/DRIFT_REPORT.md,md,1479,ROOT,true,approved,2026-03-20,0,EXPERIMENTAL,Оставить,documentation,,,,,
_audit/DUPLICATES_AND_JUNK.md,md,8582,ROOT,true,approved,2026-03-20,0,EXPERIMENTAL,Оставить,documentation,,,,,
_audit/FINAL_AUDIT_2026-03-20.md,md,3531,ROOT,true,approved,2026-03-20,0,EXPERIMENTAL,Оставить,documentation,,,,,
_audit/INVENTORY.csv,csv,105119,ROOT,false,,,0,EXPERIMENTAL,Архивировать,other,,,,,
00_CORE/README.md,md,453,00_CORE,true,archived,2026-03-20,0,DUPLICATE,Объединить,documentation,CLAIM-CORE-LAYER-README,asserted,manual,2026-03-20,docs/INDEX.md
01_ARCHITECTURE/Adaptive Intelligence Layer.md,md,3690,01_ARCHITECTURE,true,draft,,0,EXPERIMENTAL,Оставить,documentation,,,,,
01_ARCHITECTURE/CORE/CORE_COMPOSITION.md,md,180,01_ARCHITECTURE,true,draft,2026-02-15,0,EXPERIMENTAL,Оставить,documentation,,,,,
01_ARCHITECTURE/CORE/CORE_CONCEPT.md,md,3982,01_ARCHITECTURE,true,draft,2026-02-15,3,EXPERIMENTAL,Оставить,documentation,,,,,
01_ARCHITECTURE/CORE/CORE_FINAL_REPORT.md,md,6046,01_ARCHITECTURE,true,draft,2026-02-15,0,EXPERIMENTAL,Оставить,documentation,,,,,
01_ARCHITECTURE/CORE/CORE_INTEGRATION_RULES.md,md,196,01_ARCHITECTURE,true,draft,2026-02-15,0,EXPERIMENTAL,Оставить,documentation,,,,,
01_ARCHITECTURE/CORE/CORE_LIMITATIONS.md,md,185,01_ARCHITECTURE,true,draft,2026-02-15,0,EXPERIMENTAL,Оставить,documentation,,,,,
01_ARCHITECTURE/CORE/CORE_SUBSYSTEMS/ADMISSION_POLICY.md,md,3693,01_ARCHITECTURE,true,draft,2026-02-15,0,EXPERIMENTAL,Оставить,documentation,,,,,
01_ARCHITECTURE/CORE/CORE_SUBSYSTEMS/AUDIT_EVENTS.md,md,3012,01_ARCHITECTURE,true,draft,2026-02-15,0,EXPERIMENTAL,Оставить,documentation,,,,,
01_ARCHITECTURE/CORE/CORE_SUBSYSTEMS/CONFLICT_ENGINE.md,md,1698,01_ARCHITECTURE,true,draft,2026-02-18,0,EXPERIMENTAL,Оставить,documentation,,,,,
01_ARCHITECTURE/CORE/CORE_SUBSYSTEMS/ECONOMY_TRANSACTION.md,md,199,01_ARCHITECTURE,true,draft,2026-02-15,0,EXPERIMENTAL,Оставить,documentation,,,,,
01_ARCHITECTURE/CORE/CORE_SUBSYSTEMS/FSM_ENGINE.md,md,175,01_ARCHITECTURE,true,draft,2026-02-15,0,EXPERIMENTAL,Оставить,documentation,,,,,
01_ARCHITECTURE/CORE/CORE_SUBSYSTEMS/IDENTITY_ACCESS.md,md,3141,01_ARCHITECTURE,true,draft,2026-02-15,2,EXPERIMENTAL,Оставить,documentation,,,,,
01_ARCHITECTURE/CORE/CORE_SUBSYSTEMS/REGISTRY_MODEL.md,md,185,01_ARCHITECTURE,true,draft,2026-02-15,0,EXPERIMENTAL,Оставить,documentation,,,,,
01_ARCHITECTURE/CORE/CORE_SUBSYSTEMS/ROLE_MODEL.md,md,5502,01_ARCHITECTURE,true,approved,,0,EXPERIMENTAL,Оставить,documentation,,,,,
01_ARCHITECTURE/CORE/CORE_SUBSYSTEMS/STRUCTURE_REGISTRY.md,md,2750,01_ARCHITECTURE,true,draft,2026-02-15,0,EXPERIMENTAL,Оставить,documentation,,,,,
01_ARCHITECTURE/CORE/CORE_SUBSYSTEMS/TASK_WORKFLOW.md,md,3153,01_ARCHITECTURE,true,draft,2026-02-15,0,EXPERIMENTAL,Оставить,documentation,,,,,
01_ARCHITECTURE/CORE/LEVEL_A_BASELINE_VERIFIED_SPEC.md,md,22408,01_ARCHITECTURE,true,draft,,0,EXPERIMENTAL,Оставить,documentation,,,,,
01_ARCHITECTURE/CORE/LEVEL_B/AGRONOMIC_STRATEGY_LIBRARY_SPEC.md,md,12901,01_ARCHITECTURE,true,draft,,0,DUPLICATE,Объединить,documentation,,,,,
01_ARCHITECTURE/CORE/LEVEL_B/FSM_EXTENSION_LEVEL_B.md,md,13144,01_ARCHITECTURE,true,draft,,0,EXPERIMENTAL,Оставить,documentation,,,,,
01_ARCHITECTURE/CORE/LEVEL_B/GENERATIVE_ENGINE_SPEC.md,md,18167,01_ARCHITECTURE,true,draft,,0,EXPERIMENTAL,Оставить,documentation,,,,,
01_ARCHITECTURE/CORE/LEVEL_B/INVARIANT_EXTENSION_FOR_LEVEL_B.md,md,20094,01_ARCHITECTURE,true,draft,,0,EXPERIMENTAL,Оставить,documentation,,,,,
01_ARCHITECTURE/CORE/LEVEL_B/LEVEL_A_TO_B_ARCHITECTURAL_DIFF.md,md,12298,01_ARCHITECTURE,true,draft,,0,EXPERIMENTAL,Оставить,documentation,,,,,
01_ARCHITECTURE/CORE/LEVEL_C/FSM_EXTENSION.md,md,1749,01_ARCHITECTURE,true,draft,2026-02-18,0,EXPERIMENTAL,Оставить,documentation,,,,,
01_ARCHITECTURE/CORE/LEVEL_C/LEVEL_C_ARCHITECTURE.md,md,17669,01_ARCHITECTURE,true,draft,2026-02-18,6,EXPERIMENTAL,Оставить,documentation,,,,,
01_ARCHITECTURE/CORE/LEVEL_C/LEVEL_C_INVARIANTS.md,md,11462,01_ARCHITECTURE,true,draft,2026-02-18,4,EXPERIMENTAL,Оставить,documentation,,,,,
01_ARCHITECTURE/CORE/LEVEL_D/DATASET_SNAPSHOT_ARCHITECTURE.md,md,11128,01_ARCHITECTURE,true,draft,2026-02-18,3,EXPERIMENTAL,Оставить,documentation,,,,,
01_ARCHITECTURE/CORE/LEVEL_D/DRIFT_DETECTION_ARCHITECTURE.md,md,10550,01_ARCHITECTURE,true,draft,2026-02-18,3,EXPERIMENTAL,Оставить,documentation,,,,,
01_ARCHITECTURE/CORE/LEVEL_D/LEVEL_D_INVARIANTS.md,md,19352,01_ARCHITECTURE,true,draft,2026-02-18,6,EXPERIMENTAL,Оставить,documentation,,,,,
01_ARCHITECTURE/CORE/LEVEL_D/MODEL_VERSIONING_ARCHITECTURE.md,md,11327,01_ARCHITECTURE,true,draft,2026-02-18,4,EXPERIMENTAL,Оставить,documentation,,,,,
01_ARCHITECTURE/CORE/LEVEL_D/RETRAINING_PIPELINE_ARCHITECTURE.md,md,5860,01_ARCHITECTURE,true,approved,2026-02-18,2,EXPERIMENTAL,Оставить,documentation,,,,,
01_ARCHITECTURE/CORE/LEVEL_E/LEVEL_E.md,md,7586,01_ARCHITECTURE,true,approved,,3,EXPERIMENTAL,Оставить,documentation,,,,,
01_ARCHITECTURE/CORE/README.md,md,155,01_ARCHITECTURE,true,draft,2026-02-15,0,DUPLICATE,Объединить,documentation,,,,,
01_ARCHITECTURE/DATABASE/DB_ARCH_AUDIT.md,md,20190,01_ARCHITECTURE,true,draft,,0,EXPERIMENTAL,Оставить,documentation,,,,,
01_ARCHITECTURE/DATABASE/DB_COMPANY_DEROOT_DEPRECATION_PLAN.md,md,2214,01_ARCHITECTURE,true,draft,,0,EXPERIMENTAL,Оставить,documentation,,,,,
01_ARCHITECTURE/DATABASE/DB_DOMAIN_MAP.md,md,20922,01_ARCHITECTURE,true,draft,,0,EXPERIMENTAL,Оставить,documentation,,,,,
01_ARCHITECTURE/DATABASE/DB_DUAL_KEY_POLICY.md,md,2525,01_ARCHITECTURE,true,draft,,0,EXPERIMENTAL,Оставить,documentation,,,,,
01_ARCHITECTURE/DATABASE/DB_ENUM_OVERLAP_MATRIX.md,md,4398,01_ARCHITECTURE,true,draft,,0,EXPERIMENTAL,Оставить,documentation,,,,,
01_ARCHITECTURE/DATABASE/DB_ENUM_RATIONALIZATION.md,md,10688,01_ARCHITECTURE,true,draft,,0,EXPERIMENTAL,Оставить,documentation,,,,,
01_ARCHITECTURE/DATABASE/DB_EXPLAIN_ANALYZE_2026-03-13.md,md,4237,01_ARCHITECTURE,true,draft,,0,EXPERIMENTAL,Оставить,documentation,,,,,
01_ARCHITECTURE/DATABASE/DB_FRONT_OFFICE_CUTOVER_DRILL.md,md,1444,01_ARCHITECTURE,true,draft,,0,EXPERIMENTAL,Оставить,documentation,,,,,
01_ARCHITECTURE/DATABASE/DB_FRONT_OFFICE_OBSERVATION_24H.md,md,2590,01_ARCHITECTURE,true,draft,,0,EXPERIMENTAL,Оставить,documentation,,,,,
01_ARCHITECTURE/DATABASE/DB_FRONT_OFFICE_SHADOW_COMPARE.md,md,798,01_ARCHITECTURE,true,draft,,0,EXPERIMENTAL,Оставить,documentation,,,,,
01_ARCHITECTURE/DATABASE/DB_FRONT_OFFICE_TENANT_WAVE_1.md,md,2375,01_ARCHITECTURE,true,draft,,0,EXPERIMENTAL,Оставить,documentation,,,,,
01_ARCHITECTURE/DATABASE/DB_FRONT_OFFICE_TENANT_WAVE_CUTOVER.md,md,3073,01_ARCHITECTURE,true,draft,,0,EXPERIMENTAL,Оставить,documentation,,,,,
01_ARCHITECTURE/DATABASE/DB_FRONT_OFFICE_TENANT_WAVE_VALIDATION.md,md,817,01_ARCHITECTURE,true,draft,,0,EXPERIMENTAL,Оставить,documentation,,,,,
01_ARCHITECTURE/DATABASE/DB_FRONT_OFFICE_WAVE_CLOSEOUT.md,md,2781,01_ARCHITECTURE,true,draft,,0,EXPERIMENTAL,Оставить,documentation,,,,,
01_ARCHITECTURE/DATABASE/DB_INCLUDE_DEPTH_METRICS.md,md,1355,01_ARCHITECTURE,true,draft,,0,EXPERIMENTAL,Оставить,documentation,,,,,
01_ARCHITECTURE/DATABASE/DB_INDEX_AUDIT.md,md,22210,01_ARCHITECTURE,true,draft,,0,EXPERIMENTAL,Оставить,documentation,,,,,
01_ARCHITECTURE/DATABASE/DB_INDEX_EVIDENCE_REGISTER.md,md,4235,01_ARCHITECTURE,true,draft,,0,EXPERIMENTAL,Оставить,documentation,,,,,
